사업장명,인허가일자,영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지면적,폐기물구분명,인허가구분명,폐기물처리업구분명,폐기물처리업별처리구분명,허용보관량,허용보관량내용,환경업무구분명,정제지번주소,정제도로명주소,정제우편번호
(주)태산파우텍,20070507,운영중,,,,,,,허가,수집운반업(건설폐기물),,,,건설폐기물처리업사업계획(허가)신청,대구광역시 수성구 상동 391-9번지,,706013
(주)해림환경개발,20110124,운영중,,,,,,,허가,수집운반업(건설폐기물),,,,건설폐기물처리업사업계획(허가)신청,대구광역시 수성구 파동 118-322번지,"대구광역시 수성구 파동로30길 44, 106동 지하층 비01호 (파동, 드림힐즈)",
(주)아울산업,20071005,운영중,,,,,,,계획,수집운반업(건설폐기물),,,,건설폐기물처리업사업계획(허가)신청,대구광역시 중구 동산동 357번지 동산맨션 상가 5호,"대구광역시 중구 달구벌대로 2035,  5호 (동산동,동산맨션 상가)",700821
(주)그린파워텍,20160125,운영중,,,,,,,계획,수집운반업(건설폐기물),,,,건설폐기물처리업사업계획(허가)신청,,대구광역시 동구 신평로 143-7 (신평동),
안성환경,20090223,운영중,,,,,,,계획,수집운반업(건설폐기물),,,,건설폐기물처리업사업계획(허가)신청,대구광역시 북구 검단동 1269번지,대구광역시 북구 검단동로4길 6-6 (검단동),702030
문영환경,20170705,운영중,,,,,,,허가,수집운반업(건설폐기물),,,,건설폐기물처리업사업계획(허가)신청,대구광역시 달서구 도원동 1443번지,"대구광역시 달서구 도원로 45, 402동 306호 (도원동, 대곡강산타운)",
(주)서부골재환경,20170727,운영중,,,,,,,허가,수집운반업(건설폐기물),,,,건설폐기물처리업사업계획(허가)신청,,대구광역시 달성군 화원읍 성화로6길 8-2,
(주)성서미래개발,20170718,운영중,,,,,,,계획,수집운반업(건설폐기물),,,,건설폐기물처리업사업계획(허가)신청,대구광역시 달서구 장동 131-1번지,대구광역시 달서구 성서동로42안길 21 (장동),
(주)윤성산업개발,20180320,운영중,,,,,,,허가,수집운반업(건설폐기물),,,,건설폐기물처리업사업계획(허가)신청,대구광역시 달성군 하빈면 묘리 862-1번지,대구광역시 달성군 하빈면 묘동길 199,
우진골재,20101217,운영중,,,,,,,허가,수집운반업(건설폐기물),,,,건설폐기물처리업사업계획(허가)신청,대구광역시 서구 이현동 271-2번지,대구광역시 서구 북비산로 53 (이현동),703829
제우산업,20141223,폐업 등,20141223,,,,,건설폐기물,신고,수집운반업(건설폐기물),,0,,건설폐기물처리업사업계획(허가)신청,대구광역시 서구 비산동 881-5번지,대구광역시 서구 서대구로 288 (비산동),703819
성실환경,20070223,운영중,,,,,,,변경허가,,,,,건설폐기물처리업사업계획(허가)신청,대구광역시 서구 내당동 196-1 번지,,703801
(주)정일운수,20070307,운영중,,,,,,,신청,,,,,건설폐기물처리업사업계획(허가)신청,대구광역시 서구 중리동 1120-19번지,대구광역시 서구 와룡로66길 7-9 (중리동),703090
(주)조운환경,20180424,운영중,,,,,,,허가,수집운반업(건설폐기물),,,,건설폐기물처리업사업계획(허가)신청,대구광역시 남구 대명동 1023-5번지,대구광역시 남구 대명남로 85-7 (대명동),
(주)정원기업,20180706,운영중,,,,,,,계획,수집운반업(건설폐기물),,,,건설폐기물처리업사업계획(허가)신청,대구광역시 북구 금호동 744번지,"대구광역시 북구 한강로 90, 1층 (금호동)",
(주)대진이앤씨,20130121,운영중,,,,,,,허가,수집운반업(건설폐기물),,,,건설폐기물처리업사업계획(허가)신청,,"대구광역시 북구 침산로21길 23, 오피스텔동 307호 (칠성동2가, 침산1차푸르지오아파트)",
(주)선일환경,20120702,운영중,,,,,,,허가,수집운반업(건설폐기물),,,,건설폐기물처리업사업계획(허가)신청,,"대구광역시 북구 태암남로 65, 201호 (구암동)",702280
대경연합환경(주),20090205,운영중,,,,,,,허가,수집운반업(건설폐기물),,,,건설폐기물처리업사업계획(허가)신청,대구광역시 북구 서변동 1279번지,대구광역시 북구 고촌길 224-1 (서변동),702110
(주)에이치씨물류,20101103,운영중,,,,,,,허가,수집운반업(건설폐기물),,0,,건설폐기물처리업사업계획(허가)신청,,대구광역시 북구 노원로 139-6 (노원동3가),
(주)천지환경,20070720,폐업 등,20070720,,,,,,신고,수집운반업(건설폐기물),,0,,건설폐기물처리업사업계획(허가)신청,대구광역시 북구 노원동2가 283-1번지,대구광역시 북구 팔달로 215  (노원동2가),702812
(주)태경환경,20180625,폐업 등,20180625,,,,,,허가,수집운반업(건설폐기물),,0,,건설폐기물처리업사업계획(허가)신청,대구광역시 북구 복현동 366-4번지 2층,대구광역시 북구 동북로61길 13-2 (복현동),702020
안성환경,20100514,폐업 등,20100514,,,,,,신고,수집운반업(건설폐기물),,0,,건설폐기물처리업사업계획(허가)신청,대구광역시 북구 검단동 1269번지,대구광역시 북구 검단동로4길 6-6  (검단동),702800
개인,20010419,운영중,,,,,,,허가,수집운반업(건설폐기물),,,,건설폐기물처리업사업계획(허가)신청,대구광역시 북구 복현동 595-132번지,대구광역시 북구 경진로8길 2  (복현동),702020
(주)거국산업,20170419,폐업 등,20170418,,,,,,신고,수집운반업(건설폐기물),,,,건설폐기물처리업사업계획(허가)신청,대구광역시 달서구 본동 927-5번지,대구광역시 달서구 학산로 97 (본동),704350
대명종합환경,20151214,폐업 등,20151214,,,,,,신고,수집운반업(건설폐기물),,,,건설폐기물처리업사업계획(허가)신청,대구광역시 달서구 월성동 86번지 월성주공상가 가동 203호,대구광역시 달서구 월성로 77 (월성동),704782
정원기업,20141211,폐업 등,20141211,,,,,,신고,수집운반업(건설폐기물),,,,건설폐기물처리업사업계획(허가)신청,,대구광역시 달서구 달구벌대로251길 11 (이곡동),
(주)진광개발,20080917,폐업 등,20090629,,,,,,신고,수집운반업(건설폐기물),,,,건설폐기물처리업사업계획(허가)신청,대구광역시 달서구 호산동 712-7번지,대구광역시 달서구 성서공단로11길 70-14  (호산동),704230
(주)태성환경,20100115,운영중,,,,,,,허가,수집운반업(건설폐기물),,,,건설폐기물처리업사업계획(허가)신청,대구광역시 달서구 송현동 798-332번지 332빌라트 102호,"대구광역시 달서구 송현로8길 43-9,  102호 (송현동,332빌라트)",704827
(주)명호산업개발,20100721,운영중,,,,,,,허가,수집운반업(건설폐기물),,,,건설폐기물처리업사업계획(허가)신청,대구광역시 달서구 장기동 515번지,"대구광역시 달서구 용산로 88, 102동 904호 (장기동, 장기주공아파트)",704905
(주)산내산업개발,20120502,폐업 등,20120430,,,,,,신고,수집운반업(건설폐기물),,,,건설폐기물처리업사업계획(허가)신청,대구광역시 달서구 본리동 306-9번지,대구광역시 달서구 구마로 135  (본리동),704913
(주)청솔,19960312,폐업 등,20070117,,,,,건설폐기물,허가,수집운반업(건설폐기물),,0,,건설폐기물처리업사업계획(허가)신청,대구광역시 달서구 대천동 528-3번지,대구광역시 달서구 진천로 112  (대천동),704800
도원환경,20080327,운영중,,,,,,,허가,수집운반업(건설폐기물),,,,건설폐기물처리업사업계획(허가)신청,대구광역시 달서구 상인동 1597번지 상인화성파크드림2단지아파트,"대구광역시 달서구 송현로7길 9, 2104동 701호 (상인동, 상인화성파크드림2단지아파트)",
(주)디앤지산업,20101108,운영중,,,,,,,허가,수집운반업(건설폐기물),,,,건설폐기물처리업사업계획(허가)신청,대구광역시 달서구 호산동 715-19번지,"대구광역시 달서구 성서공단로11길 96-16, 401호 (호산동)",
미래골재환경,20170209,휴업 등,,20170206,,,,,신고,수집운반업(건설폐기물),,,,건설폐기물처리업사업계획(허가)신청,대구광역시 달서구 유천동 403-7번지,대구광역시 달서구 월배로5길 11 (유천동),704390
(주)대명환경,20131010,운영중,,,,,,,허가,수집운반업(건설폐기물),,,,건설폐기물처리업사업계획(허가)신청,대구광역시 달서구 송현동 2015-9번지,"대구광역시 달서구 앞산순환로 279, 201호 (송현동, 진선빌딩)",704080
(주)광진중기,20130213,운영중,,,,,,,허가,수집운반업(건설폐기물),,,,건설폐기물처리업사업계획(허가)신청,대구광역시 달서구 호림동 482-2번지,대구광역시 달서구 달서대로 403 (호림동),704240
진보중기(주),20121207,폐업 등,20121207,,,,,,신고,수집운반업(건설폐기물),,,,건설폐기물처리업사업계획(허가)신청,대구광역시 달서구 월성동 86번지 월성주공4단지아파트,대구광역시 달서구 월성로 77 (월성동),704784
(주)새한,20000119,운영중,,,,,,,허가,수집운반업(건설폐기물),,0,,건설폐기물처리업사업계획(허가)신청,,대구광역시 달서구 와룡로49길 101 (용산동),704190
부흥건설(주),20000517,폐업 등,20070119,,,,,사업장배출시설계폐기물,허가,수집운반업(건설폐기물),,0,,건설폐기물처리업사업계획(허가)신청,대구광역시 달서구 성당동 645-10번지,대구광역시 달서구 장기로 58-1 (성당동),704080
(주)태일환경,20010326,폐업 등,20100105,,,,,,신고,수집운반업(건설폐기물),,0,,건설폐기물처리업사업계획(허가)신청,대구광역시 달서구 장기동 666-4번지,대구광역시 달서구 문화회관6길 20  (장기동),704180
삼일환경,20020409,운영중,,,,,,,허가,수집운반업(건설폐기물),,0,,건설폐기물처리업사업계획(허가)신청,대구광역시 달서구 감삼동 193-16번지,대구광역시 달서구 감삼남6길 58-1 (감삼동),704170
(주)승원기업,20020617,운영중,,,,,,,허가,수집운반업(건설폐기물),,0,,건설폐기물처리업사업계획(허가)신청,대구광역시 달서구 죽전동 364-26번지,대구광역시 달서구 평리로 100 (죽전동),704932
80산업,20031118,운영중,,,,,,건설폐기물,허가,수집운반업(건설폐기물),,0,,건설폐기물처리업사업계획(허가)신청,대구광역시 달서구 월성동 220-2번지,대구광역시 달서구 성서공단로 388-5  (월성동),704400
