사업장명,인허가일자,영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지면적,복지시설종류,복지시설종류명,정제지번주소,정제도로명주소,정제우편번호
(주)대구케어25,20110715,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 동구 용계동 755-78번지,,
다사랑실버종합타운(1),20110907,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 동구 신암동 1289-20번지 3층,,
다사랑실버종합타운(2),20110907,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 동구 신암동 1289-20번지 2층,,
지성노인요양의집,20111005,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 동구 신암동 223-47번지,,
도울노인요양센터,20111121,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 동구 효목동,,
한마음요양센터,20120202,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 동구 율하동 우석타워6층 602호,,
한마음요양원1,20120227,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 동구 율하동,,
한마음요양원2,20120227,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 동구 율하동,,
에덴공동생활가정,20100702,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 동구 신암동 123-17번지 세종빌딩,,
믿음그룹홈,20100727,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 동구 효목동 466-1번지,,
소망그룹홈,20100727,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 동구 효목동 466-1번지,,
사랑그룹홈,20100803,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 동구 효목동 466-1번지,,
행복그룹홈,20100908,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 동구 신평동 760-23번지,,
치사랑공동생활가정,20100920,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 동구 검사동 1023-23번지,,
크로바요양복지관,20101015,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 동구 율하동 1438번지,,
은빛노인요양센터,20101222,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 동구 신서동 530-2번지 3층,,
평화그룹홈,20100318,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 동구 신평동 760-23번지,,
사랑안에노인요양원1,20140402,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 동구 효목동,,
선우요양복지센터,20091221,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 동구 율하동 1432번지 동흥타워204호,,
다사랑실버종합타운(3),20120711,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 동구 신암동,,
중앙요양데레사의집,20100125,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 동구 신기동 160-81번지,,
햇님어르신공동생활가정,20100415,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 동구 방촌동 857-120번지 방촌강남밸리스 201호,,
선정노인복지센터,20100506,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 동구 율하동 1438번지 동흥광장4층402호,,
선우요양복지센터(2),20100601,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 동구 율하동 1432번지 동흥타워203호,,
창성노인복지센터,20090831,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 동구 율암동 306-4번지,,
구생노인요양공동생활가정요양원,20091110,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 동구 검사동 1023-23번지,,
사랑방노인요양공동생활가정,20080403,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 동구 불로동 955-2번지,,
뉴도울노인요양센터1,20150310,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 동구 효목동,,
뉴도울노인요양센터2,20150310,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 동구 효목동,,
베델행복한집,20100301,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 달성군 화원읍 천내리 812번지,,
화원노인복지센터,20100301,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 달성군 화원읍 본리리 108-2번지,,
나오미실버홈,20100610,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 달성군 하빈면 동곡리 173번지,,
하늘과땅노인복지센터,20100629,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 달성군 옥포면 신당리 995번지,,
마실노인복지센터,20101012,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 달성군 현풍면 959-6번지 1층 외,,
대한노인복지센터,20091105,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 달성군 다사읍 죽곡리 117-3번지,,
예안노인요양공동생활가정,20080716,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 달성군 논공읍 노이리 782번지,,
목화의집 노인요양공동생활가정,20081022,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 달성군 논공읍 북리 824-153번지,,
혜인요양원1,20130717,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 서구 중리동,,
혜인요양원2,20130717,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 서구 중리동,,
혜인요양원3,20130717,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 서구 중리동,,
사랑마을요양원,20131001,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 서구 평리동,,
사랑마을요양원1,20131001,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 서구 평리동,,
두레2노인요양원,20131231,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 서구 평리동,,
한우리요양원1,20140228,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 서구 중리동,,
한우리요양원2,20140228,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 서구 중리동,,
두레노인요양원,20121123,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 서구 평리동,,
두레1노인요양원,20121123,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 서구 평리동,,
대구시니어요양센터,20130601,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 서구 평리동,,
대구시니어요양센터1,20130601,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 서구 평리동,,
대구시니어요양센터2,20130601,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 서구 평리동,,
효성2가족요양센터,20110613,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 서구 평리동,,
효성가족요양센터,20110905,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 서구 평리동,,
사임당노인요양원,20111017,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 서구 내당동 353-30번지,,
삼성요양원1,20111213,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 서구 비산동,,
삼성요양원2,20111213,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 서구 비산동,,
사랑마을요양원2,20120530,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 서구 평리동,,
대구실버요양센터,20100506,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 서구 내당동 21-21번지 서연빌딩 3층,,
효성가족요양센터,20100901,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 서구 평리동 1493-25번지,,
무지개노인요양원,20110308,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 서구 중리동,,
한아름요양복지센터,20090610,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 서구 원대동3가 1351-7번지,,
참사랑어르신의집,20090706,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 서구 원대동3가 1371-5번지,,
참편한어르신의집,20090706,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 서구 원대동3가 1371-5번지,,
시니어공동생활가정A,20090728,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 서구 평리동 1365-6번지,,
시니어공동생활가정B,20090728,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 서구 평리동 1365-4번지,,
샬롬노인요양공동생활가정,20090728,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 서구 중리동 중리롯데캐슬아파트 103동 102호,,
서대구복지센터,20090831,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 서구 평리동 660-1번지,,
간호박사요양센터1,20100310,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 서구 내당동 10-1번지,,
대구시니어요양센터3,20100310,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 서구 평리동,,
간호박사요양센터A,20100322,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 서구 내당동 10-1번지 플레처빌딩3층,,
간호박사요양센터B,20100322,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 서구 내당동 10-1번지,,
