사업장명,정제도로명주소
대자연1차경로당,대구광역시 수성구 파동로 120
우방송현하이츠경로당,대구광역시 달서구 학산남로 90
월촌보성화성타운경로당,대구광역시 달서구 송현로7길 41
용산청구블루빌타운,대구광역시 달서구 용산로 254
용산파크타운경로당,대구광역시 달서구 용산로 259
미리샘경로당,대구광역시 달서구 한실로 134
송공경로당,대구광역시 달서구 송현로8길 101-3
송현제림타운경로당,대구광역시 달서구 구마로52안길 57
상인2동경로당,대구광역시 달서구 월곡로53서길 70
성당1동경로당,대구광역시 달서구 대명천로12안길 47
용산동서우방타운경로당,대구광역시 달서구 장산로 20
용산우방미진태왕타운경로당,대구광역시 달서구 용산서로 21
상인자이 경로당,대구광역시 달서구 상원로 142
당산경로당,대구광역시 달서구 선원로15안길 41
듀류1동경로당,대구광역시 달서구 두류남6길 16 
신촌경로당,대구광역시 달서구 밤골4길 17
용산우방타운,대구광역시 달서구 용산로 174
성서주공8단지경로당,대구광역시 달서구 성지로 42
성서주공4단지경로당,대구광역시 달서구 성서동로 355-27
이곡서한2차아파트경로당,대구광역시 달서구 선원로 122
오정경로당,대구광역시 달서구 성서서로73길 57
와룡경로당,대구광역시 달서구 성서서로75길 17-7 
세광그린맨션경로당,대구광역시 달서구 진천로7길 47
달맞이맨션경로당,대구광역시 달서구 월배로 30
도원동산새마을경로당,대구광역시 달서구 도원남로 40
도원동별메마을경로당,대구광역시 달서구 도원로 46
한실들마을1차경로당,대구광역시 달서구 한실로 49
가람마을1단지경로당,대구광역시 달서구 한실로 135
한실들마을2차경로당,대구광역시 달서구 한실로 49
아람마을경로당,대구광역시 달서구 한실로 30
가람마을2단지경로당,대구광역시 달서구 한실로 135
나래마을경로당,대구광역시 달서구 한실로 29
해맞이경로당,대구광역시 달서구 월배로 420
성서보람타운경로당,대구광역시 달서구 새동네로 34
서촌경로당,대구광역시 달서구 새방로 23-16
성당에덴경로당,대구광역시 달서구 성당로33길 16
성당경로당,대구광역시 달서구 장기로10안길 15
우방죽전타운경로당,대구광역시 달서구 용산로 160
성서1차영남우방경로당,대구광역시 달서구 성지로 11
