상가업소번호,상호명,상권업종분류명,도로명주소,lat,lng
21684460,보배어린이집,유아교육,대구광역시 달서구 상원로15길 32,35.8143614,128.5341372
21692167,송파어린이집,유아교육,대구광역시 북구 동변로13길 8,35.9196533,128.6027344
21694126,죽전예능어린이집,유아교육,대구광역시 달서구 와룡로56길 38,35.8564924,128.5397097
21694127,상인킨더리베어린이집,유아교육,대구광역시 달서구 월곡로53길 70,35.8160176,128.535464
21694128,별다래어린이집,유아교육,대구광역시 달서구 성지로 35,35.8544083,128.5197194
21695455,베베궁어린이집,유아교육,대구광역시 수성구 달구벌대로661길 7,35.8373751,128.7187908
21701632,큰사랑어린이집,유아교육,대구광역시 달서구 월배로75길 132,35.8334301,128.547504
21702028,햇살조은어린이집,유아교육,대구광역시 달성군 다사읍 왕선로 26,35.8609268,128.4651353
21703208,천진어린이집,유아교육,대구광역시 남구 명덕시장길 119-5,35.8456348,128.5896402
21703211,북구어린이집,유아교육,대구광역시 북구 성북로 49,35.8918696,128.5889017
21704866,장미어린이집,유아교육,대구광역시 북구 매천로동17길 43,35.9083013,128.5410406
21705334,미키키즈어린이집,유아교육,대구광역시 서구 문화로 292,35.8722958,128.5455752
21707737,햇님어린이집,유아교육,대구광역시 북구 팔거천동로 52,35.9289195,128.5547242
21709974,죽곡휴먼시아어린이집,유아교육,대구광역시 달성군 다사읍 대실역북로1길 6,35.8593785,128.4667228
21710177,수성애플트리어린이집,유아교육,대구광역시 수성구 화랑로2길 122,35.8676296,128.6371445
21713259,별초롱어린이집,유아교육,대구광역시 북구 구암로49길 10,35.934181,128.5652328
21713552,밤비니어린이집,유아교육,대구광역시 수성구 들안로64길 61,35.858767,128.6211288
21714383,초록하늘채어린이집,유아교육,대구광역시 북구 침산로22길 31,35.8858081,128.5938975
21714596,남대구어린이집,유아교육,대구광역시 남구 대명남로 148-4,35.835024,128.5742858
21716223,송현피노키오어린이집,유아교육,대구광역시 달서구 월배로80길 25,35.8292074,128.5522408
21716892,화니어린이집,유아교육,대구광역시 수성구 동대구로7길 14-14,35.834238,128.6227893
21718865,아이멘토어린이집,유아교육,대구광역시 달서구 조암로6길 20,35.8273876,128.5265302
21719200,동부어린이집,유아교육,대구광역시 동구 큰고개로 46-2,35.8888044,128.6250749
21721945,대구삼성어린이집,유아교육,대구광역시 중구 달구벌대로 2016-40,35.8644687,128.5843009
21731732,요미요미만촌교육원,유아교육,대구광역시 수성구 화랑로12길 8,35.8710165,128.6342935
21747202,꼬마천사놀이방,유아교육,대구광역시 수성구 고산로 90,35.8382794,128.705205
21747204,아가네집,유아교육,대구광역시 동구 송라로10길 34,35.8711245,128.6224201
21749585,꿈나무어린이집,유아교육,대구광역시 달서구 월배로88길 41,35.8312996,128.5549316
21757934,샘물어린이집,유아교육,대구광역시 수성구 지범로 290,35.8145026,128.6478775
22188443,킨더베베어린이집,유아교육,대구광역시 남구 대명로25길 23-4,35.84066019999999,128.5712048
22210451,윤성어린이집,유아교육,대구광역시 서구 문화로47길 17-1,35.8773106,128.5575669
22214973,동문어린이집,유아교육,대구광역시 동구 아양로40길 30,35.8846607,128.6354611
22218693,햇살어린이집,유아교육,대구광역시 동구 송라로14길 15,35.8744788,128.6195338
22218925,둥지놀이방,유아교육,대구광역시 동구 효목로13길 41-1,35.8794453,128.6380907
22219372,삼익어린이집,유아교육,대구광역시 서구 평리로 236,35.860811,128.5489633
22224335,앙팡어린이집,유아교육,대구광역시 서구 북비산로72길 5,35.8788562,128.5723715
22225547,한솔어린이집,유아교육,대구광역시 동구 아양로46길 100,35.8829932,128.6398879
22234331,쥬라기랜드어린이집,유아교육,대구광역시 북구 환성정길 31-9,35.9238071,128.5930334
22235322,덕일어린이집,유아교육,대구광역시 수성구 청호로92길 26,35.8554076,128.6432611
22237550,미키어린이집,유아교육,대구광역시 동구 동촌로45길 39,35.8832817,128.6691437
22238608,꼬마숲어린이집,유아교육,대구광역시 동구 안심로 402,35.8686557,128.7293115
22238791,그리네어린이집,유아교육,대구광역시 수성구 지산로 31,35.82413349999999,128.6320743
22238807,새열린어린이집,유아교육,대구광역시 달서구 파도고개로 207,35.85758970000001,128.5652965
22239473,우리어린이집,유아교육,대구광역시 동구 동촌로 132-19,35.8844385,128.6555094
22240582,신당어린이집,유아교육,대구광역시 달서구 신당로 55,35.8547496,128.4978565
22240833,파랑새어린이집놀이방,유아교육,대구광역시 동구 방천로7길 39,35.8960802,128.6366712
22242351,고운별어린이집,유아교육,대구광역시 달서구 대명천로 101,35.8386355,128.5478563
22242374,장성어린이집,유아교육,대구광역시 달서구 성당로51길 56,35.8559527,128.5710498
22242390,신나는어린이집,유아교육,대구광역시 달서구 선원로 137,35.8595256,128.5090836
22246963,한사랑어린이집,유아교육,대구광역시 동구 율하동로17길 49,35.8684893,128.6956605
22250773,아이꿈어린이집,유아교육,대구광역시 서구 평리로55길 24,35.8658003,128.5537746
22251472,엘림어린이집,유아교육,대구광역시 북구 동변로 24,35.9154377,128.6024132
22254177,비둘기어린이집,유아교육,대구광역시 중구 명륜로26안길 12,35.8591287,128.5961575
22256419,백산어린이집,유아교육,대구광역시 달서구 성지로 75,35.85618040000001,128.520124
22258950,멘사영재교육원,유아교육,대구광역시 달서구 이곡공원로 32,35.8549684,128.5110108
22260677,청운어린이집,유아교육,대구광역시 달서구 용산로12길 51,35.8426022,128.5336401
22261515,예림어린이집,유아교육,대구광역시 서구 고성로 35,35.8866307,128.5716499
22274520,진로어린이집,유아교육,대구광역시 동구 아양로 218,35.883607,128.6363299
22277042,아이마루어린이집,유아교육,대구광역시 달서구 조암남로 132,35.8186862,128.5186531
22278213,영아전담보육시설보배어린이집,유아교육,대구광역시 서구 통학로 194-3,35.877509,128.5633338
22281718,한글나라어린이집,유아교육,대구광역시 달서구 야외음악당로9길 34,35.8411551,128.5509244
22283980,한국예술어린이집,유아교육,대구광역시 동구 아양로39길 43,35.8894717,128.6341405
22289966,나현어린이집,유아교육,대구광역시 중구 남산로13길 28,35.8618288,128.5807549
22295015,보명어린이집,유아교육,대구광역시 수성구 무열로39길 16-14,35.8743014,128.645189
22299528,영남어린이집,유아교육,대구광역시 남구 현충로32길 5-9,35.8472043,128.5804944
22299763,고운어린이집,유아교육,대구광역시 동구 효목로 58-5,35.878085,128.640998
22303001,다람어린이집,유아교육,대구광역시 서구 평리로57길 48-1,35.8675648,128.5542298
22305378,반야월어린이집,유아교육,대구광역시 동구 반야월북로12길 13-3,35.8765995,128.7053595
22306279,천사어린이집,유아교육,대구광역시 동구 안심로22길 55,35.8643691,128.69758
22306946,혜원어린이집,유아교육,대구광역시 수성구 범안로 40,35.816846,128.6416674
22307154,새봄어린이집,유아교육,대구광역시 달서구 이곡서로7길 17,35.8532028,128.5031035
22309746,죽전어린이집,유아교육,대구광역시 달서구 와룡로51길 56-12,35.8561438,128.534208
22311523,무열대어린이집,유아교육,대구광역시 수성구 국채보상로 1019,35.8673711,128.6415064
